"ano","sq_candidato","nome_candidato","sigla_uf","sigla_partido","qtd_doacoes","qtd_doadores","total_receita","media_receita","recursos de outros candidatos","recursos de pessoas físicas","recursos próprios","qtd_despesas","qtd_fornecedores","total_despesa","media_despesa","descricao_cargo","ds_genero","ds_grau_instrucao","ds_estado_civil","ds_ocupacao","desc_sit_cand_tot","votos"
2018,10000600846,"HENRIQUE AFONSO SOARES LIMA","AC","PV",14,14,298590.95,21327.925,5000,11000,NA,208,205,274620.34,1339.61141463415,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS","SUPLENTE",5272
2018,10000600847,"ITAMARA SOUZA DA COSTA","AC","PV",5,5,51772.05,10354.41,NA,19.8,NA,68,38,44846.45,1180.16973684211,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS","SUPLENTE",179
2018,10000600850,"RAILSON CORREIA DA COSTA","AC","PODE",65,65,202141,3109.86153846154,NA,102141,NA,28,25,123699.6,4947.984,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","VEREADOR","SUPLENTE",5979
2018,10000600852,"SILVIA MONTEIRO E SILVA","AC","PMB",13,12,42391,3532.58333333333,8000,7341,1050,108,57,40926.16,718.002807017544,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","OUTROS","SUPLENTE",4580
2018,10000600853,"FRANCISCO BRIGIDO DA COSTA","AC","PPL",6,5,8937.5,1787.5,5500,800,NA,7,7,9500,1357.14285714286,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS","SUPLENTE",1292
2018,10000601164,"CARLOS GOMES DA COSTA SOUZA","AC","REDE",6,6,316010,52668.3333333333,NA,126010,NA,97,82,310358.8,3784.86341463415,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","ASSISTENTE SOCIAL","NÃO ELEITO",5414
2018,10000601165,"IUNA BARROS CHAVES","AC","REDE",4,4,4054,1013.5,1500,1754,NA,27,22,2179.35,99.0613636363636,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PSICÓLOGO","NÃO ELEITO",312
2018,10000602282,"PAULO SORIANO DA SILVA","AC","PDT",2,2,6666.66,3333.33,5000,NA,NA,3,3,5000,1666.66666666667,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL","SUPLENTE",309
2018,10000602287,"CRISTOVAM PONTES DE MOURA","AC","PDT",82,77,152137,1975.80519480519,10000,88770,NA,40,34,100271.89,2949.17323529412,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL","SUPLENTE",5587
2018,10000602289,"PEDRO RAIMUNDO DE OLIVEIRA","AC","PDT",61,59,418750,7097.45762711864,NA,103000,375750,81,72,370828.65,5150.39791666667,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","EMPRESÁRIO","SUPLENTE",5058
2018,10000602290,"JESUS SERGIO DE MENEZES","AC","PDT",15,15,66561.66,4437.444,5000,8500,NA,29,21,51577.7,2456.08095238095,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO","ELEITO POR MÉDIA",9537
2018,10000602299,"CLEIDE MARIA FERREIRA DE ARAUJO","AC","PDT",13,12,17670.89,1472.57416666667,NA,NA,1606.5,9,8,10606.5,1325.8125,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","SECRETÁRIO E DATILÓGRAFO","SUPLENTE",1087
2018,10000602317,"EBER SILVA MACHADO","AC","PDT",17,17,76950,4526.47058823529,NA,26950,NA,14,13,56148.2,4319.09230769231,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","SUPLENTE",8400
2018,10000602318,"JOSE ADRIANO RIBEIRO DA SILVA","AC","PDT",27,25,107464,4298.56,NA,98354,6820,55,51,97424.36,1910.28156862745,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","EMPRESÁRIO","SUPLENTE",6858
2018,10000602508,"NELSON RODRIGUES SALES","AC","PP",5,5,943340,188668,NA,21300,1e+05,303,292,891443.05,3052.88715753425,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","EMPRESÁRIO","SUPLENTE",9165
2018,10000602509,"ALAN RICK MIRANDA","AC","DEM",23,22,882786.4,40126.6545454545,NA,11500,95000,161,122,1243759.3,10194.7483606557,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","ELEITO POR QP",22263
2018,10000602510,"ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA","AC","PR",14,12,769900,64158.3333333333,NA,21700,NA,409,379,1374004.65,3625.34208443272,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO","SUPLENTE",15336
2018,10000602512,"CYLMARA FERNANDES DA ROCHA GRIPP","AC","PSDB",32,28,1115952.85,39855.4589285714,NA,3500,NA,333,290,1569604.21,5412.42831034483,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO","ELEITO POR QP",40047
2018,10000602513,"EMILIO VIRGILIO LIMA DE OLIVEIRA","AC","PMN",10,7,60500,8642.85714285714,NA,12500,NA,78,75,149960.4,1999.472,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","POLICIAL MILITAR","SUPLENTE",5536
2018,10000602515,"FLAVIANO FLAVIO BAPTISTA DE MELO","AC","MDB",47,47,1694200,36046.8085106383,NA,87600,3400,525,483,1404161.58,2907.16683229814,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","DEPUTADO","ELEITO POR MÉDIA",18723
2018,10000602516,"JESSICA ROJAS SALES","AC","MDB",204,204,2409200,11809.8039215686,251500,157700,NA,479,371,2156645.08,5813.0595148248,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO","ELEITO POR QP",28717
2018,10000602517,"JOSÉ CAVALCANTE DAMASCENO JÚNIOR","AC","PP",32,31,138369.73,4463.53967741936,30000,23254,NA,67,60,129228.73,2153.81216666667,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO","SUPLENTE",4762
2018,10000602519,"MARIVALDO GONÇALVES DE MELO","AC","PSD",15,15,961450,64096.6666666667,NA,137000,NA,326,258,943923.95,3658.61996124031,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","EMPRESÁRIO","SUPLENTE",12049
2018,10000602520,"ROBERTO FERES","AC","MDB",28,28,63138.29,2254.93892857143,NA,6892.57,1545.72,35,31,44356.65,1430.85967741935,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL","SUPLENTE",1308
2018,10000602521,"ROSANA SOUSA DO NASCIMENTO","AC","PPS",4,4,505748.04,126437.01,NA,7700,NA,90,81,497653.02,6143.86444444444,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","PROFESSOR DE ENSINO SUPERIOR","SUPLENTE",5948
2018,10000602522,"RUDILEI SOARES DE SOUZA","AC","PP",25,25,526400,21056,70000,56400,NA,110,107,466000,4355.14018691589,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","EMPRESÁRIO","SUPLENTE",12905
2018,10000608399,"LEONARDO CUNHA DE BRITO","AC","PT",162,159,756245,4756.25786163522,NA,286395,20000,238,209,1113402.57,5327.28502392344,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","SUPLENTE",14881
2018,10000608400,"RAIMUNDO ANGELIM VASCONCELOS","AC","PT",60,59,496636,8417.5593220339,NA,46636,NA,303,296,888732.17,3002.4735472973,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","SUPLENTE",14123
2018,10000608402,"CARLOS CÉSAR CORREIA DE MESSIAS","AC","PSB",24,23,1345100,58482.6086956522,NA,48100,NA,491,473,1192167.44,2520.43856236786,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","DEPUTADO","SUPLENTE",10769
2018,10000608403,"DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA","AC","PT",3,3,760000,253333.333333333,NA,750000,NA,9,8,9486.7,1185.8375,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS","SUPLENTE",208
2018,10000608404,"MARIA PERPETUA DE ALMEIDA","AC","PC do B",14,14,907310.35,64807.8821428571,NA,6413.4,NA,389,349,868355.53,2488.1247277937,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PROFESSOR DE ENSINO FUNDAMENTAL","ELEITO POR QP",18374
2018,10000608405,"SEBASTIAO ALVES RODRIGUES MANCHINERY","AC","PHS",14,13,7694.43,591.879230769231,NA,795,NA,6,6,3090,515,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PROFESSOR DE ENSINO FUNDAMENTAL","SUPLENTE",801
2018,10000608406,"JEFFERSON BARROSO DE ARAÚJO","AC","PHS",28,24,25122.32,1046.76333333333,5000,3200,NA,25,22,18558.61,843.573181818182,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","OUTROS","SUPLENTE",2406
2018,20000600622,"ADELMO JOSÉ SILVA DE ASSIS","AL","NOVO",4,4,2529.01,632.2525,NA,NA,1429.85,7,5,1393.85,278.77,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DIRETOR DE ESTABELECIMENTO DE ENSINO","NÃO ELEITO",709
2018,20000600623,"MARIA TAVARES FERRO","AL","NOVO",37,37,48714.45,1316.60675675676,765,34650.29,NA,52,40,46595.16,1164.879,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO","NÃO ELEITO",9929
2018,20000600624,"TIBÉRIO DA SILVA ROCHA JÚNIOR","AL","NOVO",3,3,7299.16,2433.05333333333,NA,NA,6200,9,6,6085.76,1014.29333333333,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS","NÃO ELEITO",2130
2018,20000605542,"MARIA DAS GRAÇAS SOARES DE ARAUJO","AL","PC do B",13,11,36064.15,3278.55909090909,105.26,16.55,NA,27,25,33272.75,1330.91,"DEPUTADO FEDERAL","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","AGENTE DE SAÚDE E SANITARISTA","NÃO ELEITO",1452
2018,20000605543,"EMERSON MAMEDE FERREIRA","AL","PC do B",14,11,7047.82,640.710909090909,105.26,NA,1000,2,2,1125.56,562.78,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PROFESSOR DE ENSINO MÉDIO","NÃO ELEITO",1233
2018,20000605544,"ROBSON DA SILVA LIMA","AL","PC do B",35,33,28086.46,851.104848484849,602.96,9267.5,1000,10,10,9017.5,901.75,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","FRENTISTA","NÃO ELEITO",2013
2018,20000605545,"FELICIANO DOMINGOS DA SILVA","AL","PC do B",7,7,1393.76,199.108571428571,105.26,NA,NA,1,1,1000,1000,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","CANTOR E COMPOSITOR","NÃO ELEITO",563
2018,20000605546,"HENRIQUE DE MELO MACHADO","AL","PV",10,10,19306.95,1930.695,534.75,NA,NA,1,1,580,580,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO MUNICIPAL","NÃO ELEITO",218
2018,20000605547,"SANDRA MARIA LIMA LOPES","AL","PV",12,12,216610.01,18050.8341666667,640.01,2000,NA,19,18,178419.5,9912.19444444445,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","ADVOGADO","NÃO ELEITO",328
2018,20000616796,"GEOBERTO OMENA DE OLIVEIRA","AL","PROS",9,8,17193.34,2149.1675,16623.34,1500,70,4,4,70,17.5,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","COMERCIANTE","SUPLENTE",6808
2018,20000616797,"ARTHUR CESAR PEREIRA DE LIRA","AL","PP",36,30,1741135.66,58037.8553333333,23949.16,29686,10400,353,303,1537443.76,5074.07181518152,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","ELEITO POR QP",143858
2018,20000616798,"JOSÉ LUIZ VASCONCELLOS DOS ANJOS","AL","PP",9,9,788447.2,87605.2444444444,NA,21203.9,17243.3,452,387,748122.57,1933.13325581395,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO","SUPLENTE",12508
2018,20000616799,"MARIA DOS PRAZERES DA ROCHA BRANDÃO","AL","PP",6,6,254140.97,42356.8283333333,4140.97,NA,NA,66,61,246425.48,4039.76196721311,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS","SUPLENTE",3703
2018,20000616801,"WALTER DO VALLE DE MELO JÚNIOR","AL","PSC",5,5,210352,42070.4,NA,10352,NA,32,30,196583.16,6552.772,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL","SUPLENTE",12014
2018,20000616803,"JOÃO HENRIQUE HOLANDA CALDAS","AL","PSB",6,6,1395400,232566.666666667,NA,50800,36600,356,333,1249686.56,3752.81249249249,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO","ELEITO POR QP",178645
2018,20000616804,"FERNANDO JAMES BRAZ COLLOR DE MELLO","AL","PTC",14,13,349413.94,26877.9953846154,8000,24924.01,20489.93,78,68,284921.53,4190.0225,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","JORNALISTA E REDATOR","SUPLENTE",16250
2018,20000616805,"HEMERSON CASADO GAMA","AL","PP",35,35,148150.12,4232.86057142857,10000,28407.12,NA,37,35,127527,3643.62857142857,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS","SUPLENTE",9311
2018,20000616806,"SEVERINO DE LIRA PESSÔA","AL","PRB",8,7,647655.92,92522.2742857143,960,3865.46,10605.07,387,314,709679.04,2260.12433121019,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","DEPUTADO","ELEITO POR QP",70413
2018,20000616807,"ELIELZA MELQUIADES DOS SANTOS","AL","DEM",1,1,5588.87,5588.87,5588.87,NA,NA,4,4,5000,1250,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PEDAGOGO","SUPLENTE",4386
2018,20000616808,"JOSE EDUARDO ACCIOLY CANUTO","AL","PSDB",13,12,180756.42,15063.035,40000,43871,17000,93,74,151490.42,2047.16783783784,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","VEREADOR","SUPLENTE",31937
2018,20000616809,"PEDRO TORRES BRANDAO VILELA","AL","PSDB",8,7,858975.09,122710.727142857,2160,53000,3815.09,283,237,1133552.67,4782.92265822785,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO","SUPLENTE",37203
2018,20000616810,"TEREZA NELMA DA SILVA PORTO VIANA SOARES","AL","PSDB",89,87,818703,9410.37931034483,396,153100,4340,613,584,781323.35,1337.88244863014,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","VEREADOR","ELEITO POR MÉDIA",44207
2018,20000616895,"VALGETAN FERREIRA DE OLIVEIRA","AL","PSL",4,4,6165.57,1541.3925,1465.57,4700,NA,1,1,500,500,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO","NÃO ELEITO",7895
2018,20000616898,"JAMMES STENIO SOBREIRA","AL","PSL",3,3,1465.57,488.523333333333,1465.57,NA,NA,1,1,500,500,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","AGENTE DE SAÚDE E SANITARISTA","NÃO ELEITO",924
2018,20000616910,"JOSE ABELARDO DA SILVA","AL","PSL",1,1,500,500,500,NA,NA,3,3,500,166.666666666667,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","POLICIAL CIVIL","NÃO ELEITO",8689
2018,20000616911,"GILVAN DA SILVA MENEZES","AL","PSL",1,1,500,500,500,NA,NA,4,4,500,125,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO MUNICIPAL","NÃO ELEITO",1481
2018,20000616914,"LUCIANO VALDOMIRO SILVA FONTES","AL","PSL",3,3,839.6,279.866666666667,500,NA,339.6,2,2,500,250,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)","BOMBEIRO MILITAR","NÃO ELEITO",9949
2018,20000616915,"ANDERSON PIMENTEL ANDRADE","AL","PSL",1,1,500,500,500,NA,NA,1,1,500,500,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS","NÃO ELEITO",550
2018,20000616916,"LOUISE CHRISTIANE DE VASCONCELOS SILVA","AL","PSL",4,4,2665.57,666.3925,1465.57,NA,1200,5,5,500,100,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL","NÃO ELEITO",757
2018,20000616929,"ADEMARIO DE OLIVEIRA","AL","PATRI",7,6,6000,1000,NA,4850,1900,9,7,5236.25,748.035714285714,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES","NÃO ELEITO",299
2018,20000616934,"JOÃO SILVIO PONTES","AL","PPL",4,4,2520,630,500,NA,1350,5,4,1063.2,265.8,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS","NÃO ELEITO",180
2018,20000616935,"PEROLINA JOANA DA SILVA LINS","AL","PPL",4,4,2520,630,500,NA,1350,5,4,1063.2,265.8,"DEPUTADO FEDERAL","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","VIÚVO(A)","APOSENTADO (EXCETO SERVIDOR PÚBLICO)","NÃO ELEITO",409
2018,20000619788,"LUCIANE CRISTINE DOS SANTOS ARAUJO","AL","PSOL",5,4,15179.88,3794.97,NA,300,NA,48,30,11147.64,371.588,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS","NÃO ELEITO",6179
2018,20000621933,"OLÍVIA COIMBRA CERQUEIRA TENÓRIO","AL","PMN",18,15,499674.83,33311.6553333333,NA,36434.9,13239.93,255,252,919449.07,3648.60742063492,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO","SUPLENTE",20280
2018,20000621934,"GIVALDO DE SA GOUVEIA CARIMBÃO","AL","AVANTE",15,15,434609.75,28973.9833333333,37109.75,17500,61000,204,62,598871.62,9659.21967741935,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","DEPUTADO","SUPLENTE",54620
2018,20000621937,"PAULO FERNANDO DOS SANTOS","AL","PT",19,18,582000,32333.3333333333,NA,32000,NA,187,82,867783,10582.7195121951,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO","ELEITO POR MÉDIA",60900
2018,20000621938,"RONALDO AUGUSTO LESSA SANTOS","AL","PDT",19,19,647564.52,34082.3431578947,2224.52,45340,NA,120,102,602761.14,5909.42294117647,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","DEPUTADO","SUPLENTE",55474
2018,20000621939,"MARCELO TADEU LEMOS DE OLIVEIRA","AL","PDT",11,11,74908.54,6809.86727272727,11748.54,NA,12100,62,46,148192.66,3221.57956521739,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","ADVOGADO","SUPLENTE",5157
2018,20000621941,"MARX BELTRÃO LIMA SIQUEIRA","AL","PSD",33,32,1073131.94,33535.373125,4821.94,19000,NA,52,36,838293.5,23285.9305555556,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PECUARISTA","ELEITO POR QP",139458
2018,20000621942,"JOSE REGIS BARROS CAVALCANTE","AL","PPS",14,14,666054.22,47575.3014285714,1255.37,NA,10000,130,78,655501.14,8403.86076923077,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO SUPERIOR","SUPLENTE",11134
2018,20000621944,"EMMANUEL FORTES SILVEIRA CAVALCANTI","AL","PRTB",134,128,331625.45,2590.823828125,NA,140125.45,2000,98,69,281036.36,4072.99072463768,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO","SUPLENTE",22702
2018,20000621945,"CLÁUDIA GUEDES DA SILVA","AL","PRTB",8,7,73000,10428.5714285714,NA,10000,NA,12,12,59883.13,4990.26083333333,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","COMERCIANTE","NÃO ELEITO",0
2018,20000621947,"NIVALDO FERREIRA DE ALBUQUERQUE NETO","AL","PTB",53,53,1282622.5,24200.4245283019,422.5,32200,NA,63,62,1389976.41,22418.9743548387,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","DEPUTADO","ELEITO POR QP",84956
2018,20000621948,"ROSEANE CAVALCANTE DE FREITAS ESTRELA","AL","PTB",6,6,463549.88,77258.3133333333,492.5,4000,NA,184,175,447392.03,2556.52588571429,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO FEDERAL","SUPLENTE",5887
2018,20000621949,"ALVARO JOSÉ DO MONTE VASCONCELOS","AL","PODE",7,7,65573.63,9367.66142857143,NA,3800,61773.63,49,40,59921.73,1498.04325,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PRODUTOR AGROPECUÁRIO","SUPLENTE",6590
2018,20000621950,"JOSIENE MARIA DA SILVA","AL","MDB",5,5,51662.32,10332.464,1662.32,NA,NA,21,20,43493.35,2174.6675,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTETICISTA","SUPLENTE",1144
2018,20000626331,"MARIO JORGE PONTES DE OLIVEIRA","AL","PHS",5,5,6545.76,1309.152,NA,NA,46.2,6,6,2039.4,339.9,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS","NÃO ELEITO",1629
